ID,POS,Name,ORG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ2,Left,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,PROY,OPT,OY,ON40,IC,WAIV,DEM,R5,HT CM
946,LF,John Anderson,San Antonio Wild Horses,MLB,1998-12-21,27,"6' 2""",200 lbs,R,R,Unkn.,Unkn.,48,48,L,L,L,L,L,L,Normal,Normal,-,-,-,50,60,50,50,65,50,60,50,50,65,50,60,50,50,65,50,60,50,50,65,50,50,Line Drive,Normal,Normal,20,20,20,35,30,45,25,60,50,65,-,20,40,20,20,20,70,50,65,50,20,40,20,20,20,70,50,65,40,50,50,45,9191000,1,9191000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1339,2B,Jose Andretta,Detroit Arsenal,MLB,1998-02-02,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,45,45,L,L,L,L,L,L,Normal,Iron Man,-,-,-,50,40,50,60,55,50,40,50,60,55,50,40,50,60,55,50,40,50,60,55,50,50,Flyball,Pull,Normal,20,20,25,45,65,65,80,45,55,40,-,20,65,55,60,45,50,25,40,80,20,65,55,60,45,50,25,40,55,65,65,60,2400000,1,2400000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1086,1B,Josh Anhalt,New York Legends,MLB,1998-05-21,27,"6' 2""",200 lbs,R,R,Insig.,Insig.,48,48,L,L,L,L,L,L,Normal,Normal,-,-,-,55,55,50,65,50,55,55,50,65,50,55,55,50,65,50,55,55,50,65,50,50,50,Line Drive,Normal,Normal,20,20,20,40,50,35,45,30,35,35,-,20,60,35,20,20,20,20,20,70,20,60,35,20,20,20,20,20,50,40,40,30,25000000,1,25000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1048,1B,Danny Aragon,Charlotte Copperheads,MLB,1998-05-24,27,"6' 7""",200 lbs,R,R,Pop.,Pop.,65,65,L,L,L,L,L,L,Normal,Normal,-,-,-,70,55,50,60,65,70,55,50,60,65,70,55,50,60,65,70,55,50,60,65,50,50,Line Drive,Spray,Spray,20,20,25,50,55,65,35,40,30,35,-,20,80,40,50,35,30,20,20,80,20,80,40,50,35,30,20,20,20,25,25,50,2800000,1,2800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,200.66
669,SS,Luis Arias,Los Angeles Daredevils,MLB,1998-12-13,27,"6' 2""",200 lbs,R,R,Insig.,Insig.,55,55,L,N,N,N,N,L,Normal,Normal,-,-,-,50,60,60,45,50,50,60,60,45,50,50,60,60,45,50,50,60,60,45,50,50,50,Normal,Spray,Spray,20,20,25,75,75,65,70,55,60,55,-,20,80,80,75,70,65,45,60,80,20,80,80,75,70,65,45,60,50,50,50,50,4960000,3,14880000,3,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1002,LF,Alex Arizmendi,Brooklyn Jaguars,MLB,1998-10-18,27,"6' 2""",200 lbs,R,R,Insig.,Insig.,62,62,L,L,L,L,L,L,Normal,Normal,-,-,-,60,55,55,70,55,60,55,55,70,55,60,55,55,70,55,60,55,55,70,55,50,50,Line Drive,Normal,Normal,20,20,20,40,40,40,35,65,55,60,-,20,55,30,20,20,70,55,65,65,20,55,30,20,20,70,55,65,50,25,25,30,8000000,1,8000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1350,3B,Chris Armentrout,Oakland Air Riders,MLB,1998-04-04,27,"6' 1""",200 lbs,R,R,Fair,Fair,56,56,L,L,L,L,L,L,Normal,Normal,-,-,-,65,55,60,55,50,65,55,60,55,50,65,55,60,55,50,65,55,60,55,50,50,50,Line Drive,Pull,Spray,20,20,20,55,60,45,50,40,55,60,-,20,70,55,50,45,45,20,45,80,20,70,55,50,45,45,20,45,50,40,40,50,2800000,1,2800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
429,SS,Jordan Arnold,Colorado Springs War Dogs,MLB,1998-03-01,27,"6' 2""",200 lbs,R,R,Unkn.,Fair,48,48,N,H,L,L,N,N,Normal,Normal,-,-,-,50,65,45,50,55,50,65,45,50,55,50,65,45,50,55,50,65,45,50,55,50,50,Normal,Spray,Normal,20,20,20,65,75,70,70,45,55,55,-,20,75,75,70,65,50,25,45,80,20,75,75,70,65,50,25,45,50,50,50,50,870000,1,870000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
483,SS,William Arredondo,Denver Swordfish,MLB,1998-03-01,27,"5' 11""",200 lbs,R,R,Insig.,Fair,52,52,N,L,H,N,L,H,Normal,Normal,-,-,-,60,50,55,40,45,60,50,55,40,45,60,50,55,40,45,60,50,55,40,45,50,50,Line Drive,Spray,Pull,25,25,20,80,65,70,75,35,55,60,-,20,70,80,75,75,35,20,35,80,20,70,80,75,75,35,20,35,50,40,40,40,8500000,3,24900000,3,-,0,10,1720,10,0,0,-,-,-,-,No,180.34
1556,C,Mario Arvelo,Omaha Blue Falcons,MLB,1998-04-24,27,"6' 0""",200 lbs,R,R,Unkn.,Insig.,42,42,N,H,N,H,N,N,Normal,Normal,-,-,-,50,60,55,35,50,50,60,55,35,50,50,60,55,35,50,50,60,55,35,50,50,50,Normal,Spray,Pull,50,65,50,35,50,40,30,45,40,35,-,50,55,25,25,20,45,20,35,70,50,55,25,25,20,45,20,35,30,35,35,35,2600000,1,2600000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1026,LF,Dave Avery,Detroit Arsenal,MLB,1998-06-28,27,"6' 1""",200 lbs,R,R,Insig.,Pop.,49,49,N,H,N,N,N,N,Normal,Normal,-,-,-,65,50,50,45,50,65,50,50,45,50,65,50,50,45,50,65,50,50,45,50,50,50,Line Drive,Spray,Normal,20,20,20,55,45,35,50,45,50,60,-,20,65,50,30,35,50,20,45,80,20,65,50,30,35,50,20,45,65,60,60,65,11000000,3,33000000,3,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
1126,LF,Luke Avila,Chicago Broncos,MLB,1998-01-08,27,"6' 0""",200 lbs,R,R,Insig.,Insig.,45,45,N,N,H,N,N,N,Normal,Iron Man,-,-,-,55,60,45,70,50,55,60,45,70,50,55,60,45,70,50,55,60,45,70,50,50,50,Line Drive,Normal,Normal,20,20,20,50,45,45,40,60,45,45,-,20,60,40,35,30,60,45,50,75,20,60,40,35,30,60,45,50,65,65,65,65,5500000,1,5500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1194,3B,Joel Aviles,Indianapolis Quakers,MLB,1998-02-07,27,"5' 11""",200 lbs,R,R,Insig.,Insig.,52,52,L,L,L,L,L,L,Normal,Normal,-,-,-,50,60,60,55,50,50,60,60,55,50,50,60,60,55,50,50,60,60,55,50,50,50,Normal,Spray,Pull,20,20,20,60,60,70,65,65,60,60,-,20,65,65,65,55,70,55,65,80,20,65,65,65,55,70,55,65,50,50,50,40,2800000,1,2800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,180.34
528,CF,Alonzo Ayala,Albuquerque Tempest,MLB,1998-10-18,27,"6' 1""",200 lbs,R,R,Unkn.,Fair,48,48,N,H,N,N,N,N,Normal,Normal,-,-,-,55,45,50,35,55,55,45,50,35,55,55,45,50,35,55,55,45,50,35,55,50,50,Normal,Normal,Normal,20,20,20,60,45,50,20,70,70,65,-,20,65,35,40,30,80,70,80,80,20,65,35,40,30,80,70,80,55,60,60,50,1900000,2,6500000,2,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
778,1B,Ciro Banfi,Portland Apple Sox,MLB,1998-11-24,27,"6' 2""",200 lbs,R,R,Insig.,Insig.,39,39,N,N,N,N,N,N,Normal,Normal,-,-,-,60,45,20,45,55,60,45,20,45,55,60,45,20,45,55,60,45,20,45,55,50,50,Line Drive,Spray,Normal,25,25,25,50,60,70,65,30,30,25,-,20,70,55,60,50,20,20,20,80,20,70,55,60,50,20,20,20,50,25,25,25,2200000,2,5600000,2,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
534,C,Arturo Banuelos,Albuquerque Tempest,MLB,1998-09-30,27,"5' 11""",200 lbs,R,R,Insig.,Fair,63,63,N,N,N,N,N,N,Normal,Iron Man,-,-,-,70,65,55,45,50,70,65,55,45,50,70,65,55,45,50,70,65,55,45,50,50,50,Line Drive,Pull,Normal,50,80,50,35,50,40,25,50,25,40,-,60,45,20,25,20,40,20,30,65,60,45,20,25,20,40,20,30,20,50,50,50,6200000,1,6200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,180.34
764,C,Kyle Barber,Portland Apple Sox,MLB,1998-10-15,27,"6' 1""",200 lbs,R,R,Pop.,Ex.Pop.,75,75,N,N,H,L,N,N,Normal,Normal,-,-,-,60,55,55,45,80,60,55,55,45,80,60,55,55,45,80,60,55,55,45,80,50,50,Line Drive,Normal,Normal,40,65,70,30,35,40,30,40,40,40,-,60,35,20,20,20,35,20,30,45,60,35,20,20,20,35,20,30,30,25,25,50,14300000,3,42900000,3,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
1349,SS,Tim Barkley,Denver Swordfish,MLB,1998-07-11,27,"6' 2""",200 lbs,R,R,Fair,V.Pop,61,61,N,N,N,N,N,L,Normal,Normal,-,-,-,60,65,60,50,50,60,65,60,50,50,60,65,60,50,50,60,65,60,50,50,50,50,Line Drive,Pull,Spray,25,25,20,60,60,75,75,45,60,60,-,20,75,65,70,60,50,20,50,80,20,75,65,70,60,50,20,50,50,50,50,50,2000000,1,2000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1270,2B,Pat Barnes,Tulsa Flying Squirrels,MLB,1998-03-12,27,"6' 0""",200 lbs,R,R,Insig.,Insig.,52,52,N,N,N,N,N,L,Normal,Normal,-,-,-,45,60,60,55,65,45,60,60,55,65,45,60,60,55,65,45,60,60,55,65,50,50,Flyball,Pull,Normal,20,20,20,50,70,70,50,25,60,35,-,20,70,55,65,50,20,20,20,80,20,70,55,65,50,20,20,20,50,60,60,45,3600000,1,3600000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
954,CF,Dave Barott,Chicago Broncos,MLB,1998-12-20,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,47,47,L,L,L,L,L,L,Normal,Normal,-,-,-,45,50,55,65,35,45,50,55,65,35,45,50,55,65,35,45,50,55,65,35,50,50,Flyball,Spray,Normal,20,20,20,55,45,35,45,75,75,70,-,20,60,45,25,30,80,75,80,75,20,60,45,25,30,80,75,80,75,75,75,80,3000000,1,3000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
885,RF,Chris Barr,Omaha Blue Falcons,MLB,1998-02-16,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,45,45,L,L,L,L,L,L,Normal,Normal,-,-,-,45,75,60,55,45,45,75,60,55,45,45,75,60,55,45,45,75,60,55,45,50,50,Normal,Pull,Normal,20,20,20,35,30,60,25,65,70,35,-,20,45,20,30,20,70,55,60,55,20,45,20,30,20,70,55,60,60,55,55,65,3000000,1,3000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
845,CF,Bob Baumgartner,Tucson Hurons,MLB,1998-12-21,27,"6' 3""",200 lbs,R,R,Unkn.,Unkn.,50,50,L,L,L,L,L,L,Normal,Durable,-,-,-,55,55,50,45,55,55,55,50,45,55,55,55,50,45,55,55,55,50,45,55,50,50,Normal,Normal,Spray,20,20,20,50,35,45,40,75,75,70,-,20,65,40,30,30,80,75,80,70,20,65,40,30,30,80,75,80,45,45,45,35,10500000,1,10500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,190.5
1419,SS,Chris Behrns,San Diego Millers,MLB,1998-10-07,27,"6' 1""",200 lbs,R,R,Known,Pop.,60,60,N,N,N,N,H,N,Normal,Iron Man,-,-,-,60,55,45,55,60,60,55,45,55,60,60,55,45,55,60,60,55,45,55,60,50,50,Line Drive,Normal,Normal,25,25,25,70,70,65,70,65,65,60,-,20,75,80,70,70,80,60,70,80,20,75,80,70,70,80,60,70,50,40,40,45,2600000,2,15600000,2,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
272,LF,Jose Bernales,Fort Worth Villains,MLB,1998-12-20,27,"6' 0""",200 lbs,R,R,Insig.,Insig.,50,50,H,N,N,N,N,N,Normal,Iron Man,-,-,-,60,50,50,65,50,60,50,50,65,50,60,50,50,65,50,60,50,50,65,50,50,50,Line Drive,Pull,Normal,25,25,25,35,35,40,30,55,55,60,-,20,45,20,20,20,65,45,60,60,20,45,20,20,20,65,45,60,30,30,30,35,9500000,2,19000000,2,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1411,SS,Josh Black,Oklahoma City Lynx,MLB,1998-02-18,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,52,52,L,L,L,L,L,L,Normal,Iron Man,-,-,-,55,60,45,50,50,55,60,45,50,50,55,60,45,50,50,55,60,45,50,50,50,50,Line Drive,Pull,Normal,20,20,20,70,75,80,80,60,60,55,-,20,75,80,80,75,65,45,60,80,20,75,80,80,75,65,45,60,50,55,55,50,700000,1,700000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1211,3B,Robby Blankinship,Tucson Hurons,MLB,1998-06-18,27,"6' 2""",200 lbs,R,R,Fair,Fair,61,61,L,L,L,L,L,L,Normal,Normal,-,-,-,60,60,60,60,50,60,60,60,60,50,60,60,60,60,50,60,60,60,60,50,50,50,Line Drive,Normal,Normal,20,20,20,65,70,70,40,50,55,70,-,20,75,65,70,60,55,30,55,80,20,75,65,70,60,55,30,55,30,35,35,20,580000,1,580000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1555,C,Joel Blue,Oakland Air Riders,MLB,1998-07-08,27,"5' 9""",200 lbs,R,R,Unkn.,Unkn.,40,40,N,N,N,H,L,N,Normal,Normal,-,-,-,60,40,40,60,45,60,40,40,60,45,60,40,40,60,45,60,40,40,60,45,50,50,Groundball,Normal,Spray,50,60,50,35,25,55,25,45,30,50,-,50,30,20,20,20,45,20,40,45,50,30,20,20,20,45,20,40,50,50,50,50,10000000,1,10000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,175.26
332,RF,Rogelio Boloto,Oklahoma City Lynx,MLB,1998-06-04,27,"6' 2""",200 lbs,R,R,Unkn.,Unkn.,43,43,N,N,L,N,N,L,Normal,Iron Man,-,-,-,50,60,45,50,55,50,60,45,50,55,50,60,45,50,55,50,60,45,50,55,50,50,Normal,Normal,Spray,20,20,20,40,35,35,20,65,50,60,-,20,50,20,20,20,70,50,65,55,20,50,20,20,20,70,50,65,50,60,60,50,3800000,1,3800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
674,RF,Danny Bonilla,Los Angeles Daredevils,MLB,1998-09-18,27,"6' 0""",200 lbs,R,R,Unkn.,Unkn.,44,44,N,L,N,N,N,N,Normal,Iron Man,-,-,-,50,55,55,50,45,50,55,55,50,45,50,55,55,50,45,50,55,55,50,45,50,50,Normal,Pull,Normal,20,20,20,45,40,40,20,45,45,60,-,20,55,20,25,20,50,20,45,70,20,55,20,25,20,50,20,45,65,75,75,70,1400000,2,3300000,2,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
964,C,Zach Bordner,Charlotte Copperheads,MLB,1998-05-23,27,"6' 1""",200 lbs,R,R,Fair,V.Pop,62,62,N,N,N,N,N,H,Normal,Normal,-,-,-,50,50,60,50,65,50,50,60,50,65,50,50,60,50,65,50,50,60,50,65,50,50,Flyball,Pull,Normal,60,75,35,45,40,55,35,35,25,55,-,55,60,35,40,30,30,20,25,70,55,60,35,40,30,30,20,25,50,50,50,40,5000000,1,5000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
124,RF,Brian Borth,Atlanta Musketeers,MLB,1998-04-04,27,"6' 1""",200 lbs,R,R,Known,Pop.,48,48,L,N,H,N,H,L,Normal,Normal,-,-,-,50,50,60,50,45,50,50,60,50,45,50,50,60,50,45,50,50,60,50,45,50,50,Normal,Normal,Spray,20,20,20,40,40,65,30,75,70,50,-,20,55,25,40,20,80,75,75,70,20,55,25,40,20,80,75,75,50,50,50,50,7200000,2,14400000,2,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
1418,3B,Kevin Bowyer,San Diego Millers,MLB,1998-06-13,27,"6' 0""",200 lbs,R,R,Fair,Fair,49,49,N,N,H,N,H,N,Normal,Normal,-,-,-,50,55,60,50,50,50,55,60,50,50,50,55,60,50,50,50,55,60,50,50,50,50,Normal,Normal,Normal,20,20,20,45,45,65,60,45,40,65,-,20,65,45,50,40,50,20,50,75,20,65,45,50,40,50,20,50,50,50,50,55,9700000,2,19900000,2,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
1491,SS,Matt Brace,Mesa Storm,MLB,1998-10-26,27,"6' 0""",200 lbs,R,R,Known,Ex.Pop.,63,63,N,N,N,N,N,N,Normal,Normal,-,-,-,60,50,55,55,50,60,50,55,55,50,60,50,55,55,50,60,50,55,55,50,50,50,Normal,Spray,Spray,25,25,20,75,75,60,70,60,55,60,-,20,75,80,75,75,65,45,60,80,20,75,80,75,75,65,45,60,50,40,40,35,3000000,1,3000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
564,C,Brian Bray,Tucson Hurons,MLB,1998-07-27,27,"6' 2""",200 lbs,R,R,Known,Pop.,75,75,N,N,N,N,N,N,Normal,Normal,-,-,-,60,60,60,65,60,60,60,60,65,60,60,60,60,65,60,60,60,60,65,60,50,50,Line Drive,Pull,Spray,50,70,40,35,30,30,20,25,35,30,-,50,40,20,20,20,20,20,20,45,50,40,20,20,20,20,20,20,25,25,25,50,11300000,1,11300000,1,-,0,10,1720,10,0,0,-,-,-,-,No,187.96
1032,1B,Austin Brewer,Detroit Arsenal,MLB,1998-03-06,27,"6' 6""",200 lbs,R,R,Insig.,Insig.,41,41,N,N,L,N,L,N,Normal,Fragile,-,-,-,60,50,35,50,45,60,50,35,50,45,60,50,35,50,45,60,50,35,50,45,50,50,Line Drive,Normal,Spray,20,20,25,70,60,70,55,40,40,30,-,20,80,70,70,60,35,20,25,80,20,80,70,70,60,35,20,25,50,40,40,35,22000000,2,44000000,2,-,0,10,1720,10,0,0,-,-,-,-,No,198.12
1016,1B,Mike Brewer,Detroit Arsenal,MLB,1998-01-21,27,"6' 8""",200 lbs,R,R,Fair,Fair,45,45,N,H,N,N,H,H,Normal,Normal,-,-,-,55,55,40,60,50,55,55,40,60,50,55,55,40,60,50,55,55,40,60,50,50,50,Line Drive,Normal,Normal,25,25,20,70,65,50,40,50,25,30,-,20,80,65,55,55,40,20,25,80,20,80,65,55,55,40,20,25,50,50,50,20,18400000,1,18400000,1,-,0,10,1720,10,0,0,-,-,-,-,No,203.2
1083,CF,Frank Bridges,Indianapolis Quakers,MLB,1998-08-14,27,"6' 1""",200 lbs,R,R,Unkn.,Unkn.,46,46,N,N,H,H,H,N,Normal,Normal,-,-,-,50,50,50,60,50,50,50,50,60,50,50,50,50,60,50,50,50,50,60,50,50,50,Normal,Normal,Normal,20,20,25,55,45,35,20,65,70,65,-,20,65,35,25,25,80,65,75,75,20,65,35,25,25,80,65,75,60,55,55,65,1480000,1,1480000,1,-,0,10,1720,10,0,0,-,-,-,-,No,185.42
522,LF,Vince Britt,Albuquerque Tempest,MLB,1998-01-22,27,"6' 5""",200 lbs,R,R,Insig.,Insig.,37,37,N,N,N,N,N,H,Normal,Normal,-,-,-,45,60,45,40,50,45,60,45,40,50,45,60,45,40,50,45,60,45,40,50,50,50,Normal,Pull,Normal,20,20,20,40,35,25,30,50,60,50,-,20,55,25,20,20,50,25,45,60,20,55,25,20,20,50,25,45,35,35,35,40,2800000,1,2800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,195.57999999999998
270,2B,J.R. Brockel,Fort Worth Villains,MLB,1998-01-25,27,"6' 0""",200 lbs,R,R,Insig.,Known,49,49,H,N,N,N,N,L,Normal,Normal,-,-,-,55,55,60,50,50,55,55,60,50,50,55,55,60,50,50,55,55,60,50,50,50,50,Normal,Pull,Spray,20,20,25,60,50,50,55,55,55,45,-,20,65,60,45,45,60,40,50,80,20,65,60,45,45,60,40,50,25,50,50,25,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,182.88
473,LF,Brendon Brooks,Denver Swordfish,MLB,1998-12-12,27,"5' 10""",200 lbs,R,R,Known,Pop.,63,63,N,N,N,N,N,N,Normal,Iron Man,-,-,-,55,50,55,60,75,55,50,55,60,75,55,50,55,60,75,55,50,55,60,75,50,50,Normal,Normal,Normal,20,20,20,55,45,40,50,60,45,60,-,20,60,50,30,35,65,50,60,80,20,60,50,30,35,65,50,60,45,25,25,45,7700000,2,16300000,2,-,0,10,1720,10,0,0,-,-,-,-,No,177.8
1480,2B,Kevin Brooks,Fresno Biscuits,MLB,1998-01-31,27,"5' 10""",200 lbs,R,R,Insig.,Insig.,56,56,N,N,L,L,N,N,Normal,Normal,-,-,-,55,40,55,45,60,55,40,55,45,60,55,40,55,45,60,55,40,55,45,60,50,50,Normal,Normal,Pull,20,20,20,55,70,70,70,65,60,40,-,20,65,65,70,60,70,55,60,80,20,65,65,70,60,70,55,60,50,50,50,55,530000,1,530000,1,-,0,10,1720,10,0,0,-,-,-,-,No,177.8
