ID,POS,Name,ORG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ2,Left,STU,PBABIP,HRR,CON,STU vL,HRR vL,PBABIP vL,CON vL,STU vR,HRR vR,PBABIP vR,CON vR,STU P,HRR P,PBABIP P,CON P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,P,P Pot,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,PROY,OPT,OY,ON40,IC,WAIV,DEM,R5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1677,RP,Antonio Alvarez,Los Angeles Daredevils,MLB,1998-03-30,27,"6' 5""",200 lbs,R,R,Fair,56,56,L,L,L,L,L,L,Normal,Normal,-,-,-,75,50,35,50,70,35,50,50,75,35,55,50,75,35,50,50,50,50,60,60,75,75,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,80,55,55,2800000,1,2800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
344,SP,Danny Ambriz,Boston Slammers,MLB,1998-05-31,27,"6' 7""",200 lbs,R,R,Known,41,41,L,L,L,L,L,L,Normal,Fragile,-,-,-,70,50,25,50,70,25,50,50,75,25,50,50,75,25,50,50,50,55,55,55,75,80,55,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,45,55,55,17085000,1,17085000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
540,SP,Edwin Anderson,New York Legends,MLB,1998-12-21,27,"6' 4""",200 lbs,R,R,Known,65,65,L,L,L,L,L,L,Normal,Normal,-,-,-,60,55,50,50,60,50,50,50,65,50,55,50,60,50,55,50,50,50,70,70,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,21000000,1,21000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
449,SP,Jordan Andrade,Colorado Springs War Dogs,MLB,1998-04-04,27,"6' 2""",200 lbs,R,R,Known,77,77,L,L,L,L,L,L,Normal,Normal,-,-,-,55,45,65,60,55,65,45,60,60,65,45,60,60,65,45,60,50,50,80,80,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,60,55,55,15175500,1,15175500,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
312,SP,Vinny Arauz,Denver Swordfish,MLB,1998-05-29,27,"5' 10""",200 lbs,R,R,V.Pop,60,60,L,L,L,L,L,L,Normal,Normal,-,-,-,60,50,55,45,55,55,50,45,60,55,50,45,60,55,50,45,50,50,75,75,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,70,55,55,12500000,1,12500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
742,RP,Colin Arnold,San Diego Millers,MLB,1998-04-19,27,"6' 0""",200 lbs,R,R,Known,80,80,L,L,L,L,L,L,Normal,Normal,-,-,-,60,55,60,50,60,60,55,50,65,60,55,50,60,60,55,50,50,50,80,80,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,35,55,55,12000000,1,12000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
292,SP,Jon Arnold,San Francisco Ramblers,MLB,1998-05-20,27,"6' 2""",200 lbs,R,R,Fair,54,54,L,L,L,L,L,L,Normal,Normal,-,-,-,50,65,50,50,50,50,65,50,50,50,65,50,50,50,65,50,50,50,65,65,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,40,55,55,14500000,1,14500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
147,SP,Sang-cheol Bae,Los Angeles Daredevils,MLB,1998-06-05,27,"6' 2""",200 lbs,R,R,Pop.,68,68,L,L,L,L,L,L,Normal,Durable,-,-,-,60,50,50,60,60,50,50,60,65,50,50,60,60,50,50,60,50,50,70,70,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,3600000,1,3600000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
237,SP,Brian Bain,Albuquerque Tempest,MLB,1998-10-14,27,"6' 2""",200 lbs,R,R,Known,69,69,L,L,L,L,L,L,Normal,Normal,-,-,-,45,50,65,55,45,65,50,55,50,65,50,55,45,65,50,55,45,45,65,65,55,55,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,65,55,55,11500000,1,11500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
706,SP,Oliver Ballantyne,Portland Apple Sox,MLB,1998-01-01,28,"6' 1""",200 lbs,R,R,Known,48,48,L,L,L,L,L,L,Normal,Normal,-,-,-,35,50,60,50,35,65,50,50,35,60,50,50,35,60,50,50,40,40,40,40,30,30,35,35,-,-,-,-,-,-,35,35,-,-,30,30,-,-,-,-,6,NEU,90-92,90-92,2025-03-04,Normal,50,40,55,55,3200000,1,3200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1641,RP,Benjamin Banfi,San Francisco Ramblers,MLB,1998-07-24,27,"6' 1""",200 lbs,R,R,Fair,80,80,L,L,L,L,L,L,Normal,Iron Man,-,-,-,65,50,60,50,65,60,50,50,70,60,50,50,65,60,50,50,50,50,80,80,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,30,55,55,-,1,-,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
252,RP,Roberto Barajas,Chicago Broncos,MLB,1998-01-02,27,"6' 6""",200 lbs,R,R,Known,80,80,L,L,L,L,L,L,Normal,Normal,-,-,-,60,35,60,60,60,60,35,60,65,60,35,60,60,60,35,60,50,50,80,80,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,20,55,55,4800000,1,4800000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
302,CL,Steve Barbella,Detroit Arsenal,MLB,1998-11-15,27,"6' 3""",200 lbs,R,R,Known,80,80,L,L,L,L,L,L,Normal,Iron Man,-,-,-,65,50,55,55,65,55,50,55,70,55,50,55,65,55,50,55,50,50,75,75,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,70,55,55,6090000,1,6090000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
443,RP,Jonathan Barrera,Milwaukee Sand Gnats,MLB,1998-07-02,27,"6' 6""",200 lbs,R,R,Fair,74,74,L,L,L,L,L,L,Normal,Durable,-,-,-,50,50,55,60,50,55,50,60,50,55,55,60,50,55,50,60,45,45,65,65,55,55,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,7000000,1,7000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
806,SP,Ryan Barrett,Brooklyn Jaguars,MLB,1998-11-02,27,"6' 5""",200 lbs,R,R,Known,52,52,L,L,L,L,L,L,Normal,Durable,-,-,-,50,50,50,50,50,50,50,50,50,50,55,50,50,50,50,50,50,50,65,65,65,65,50,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,40,55,55,16000000,1,16000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
713,RP,Roy Bates,Tucson Hurons,MLB,1998-10-16,27,"5' 10""",200 lbs,R,R,Known,80,80,L,L,L,L,L,L,Normal,Normal,-,-,-,60,50,60,65,55,60,50,65,60,60,55,65,60,60,50,65,50,50,75,75,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,65,55,55,6060000,1,6060000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1642,RP,Kyle Baxter,Chicago Broncos,MLB,1998-05-27,27,"6' 1""",200 lbs,R,R,Fair,75,75,L,L,L,L,L,L,Normal,Iron Man,-,-,-,60,50,50,50,60,50,50,50,65,50,50,50,60,50,50,50,50,50,75,75,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,30,55,55,-,1,-,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1691,SP,Paul Bell,Milwaukee Sand Gnats,MLB,1998-05-26,27,"6' 4""",200 lbs,R,R,Known,64,64,L,L,L,L,L,L,Normal,Iron Man,-,-,-,50,50,65,50,45,65,50,50,50,65,50,50,50,65,50,50,45,45,70,70,60,60,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,40,55,55,590000,1,590000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
735,SP,Jeremy Benedict,San Diego Millers,MLB,1998-01-14,27,"6' 2""",200 lbs,R,R,V.Pop,66,66,L,L,L,L,L,L,Normal,Normal,-,-,-,55,50,50,60,55,50,50,60,55,50,50,60,55,50,50,60,50,50,65,65,65,75,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,55,55,55,3200000,1,3200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
638,SP,Brian Berry,Oakland Air Riders,MLB,1998-04-11,27,"6' 1""",200 lbs,R,R,V.Pop,66,66,L,L,L,L,L,L,Normal,Normal,-,-,-,50,40,55,65,45,55,40,65,50,55,45,65,50,55,40,65,45,45,65,65,60,60,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,12500000,1,12500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
48,CL,Nick Bink,Houston Aeros,MLB,1998-02-12,27,"5' 11""",200 lbs,R,R,Pop.,80,80,L,L,L,L,L,L,Normal,Iron Man,-,-,-,60,50,55,75,55,55,50,75,60,55,50,75,60,55,50,75,50,50,70,70,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,50,55,55,9500000,1,9500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
141,SP,Dusty Black,Atlanta Musketeers,MLB,1998-11-29,27,"6' 6""",200 lbs,R,R,V.Pop,62,62,L,L,L,L,L,L,Normal,Fragile,-,-,-,50,50,65,45,50,65,50,45,50,65,50,45,50,65,50,45,50,50,75,75,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,55,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1635,RP,Justin Blackwood,Chicago Broncos,MLB,1998-09-25,27,"6' 2""",200 lbs,R,R,Pop.,56,56,L,L,L,L,L,L,Normal,Durable,-,-,-,40,50,60,50,40,60,50,50,40,60,50,50,40,60,50,50,40,40,35,35,30,30,35,35,40,40,35,35,-,-,35,35,-,-,35,35,-,-,-,-,8,NEU,90-92,90-92,2025-03-04,Normal,50,30,55,55,-,1,-,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1604,RP,Dan Blanton,Tulsa Flying Squirrels,MLB,1998-09-28,27,"6' 3""",200 lbs,R,R,Pop.,80,80,L,L,L,L,L,L,Normal,Normal,-,-,-,60,65,55,60,60,55,60,60,65,55,65,60,65,55,65,60,50,50,80,80,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,20,55,55,12500000,1,12500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
354,SP,Iften Boit,Memphis Barbarians,MLB,1998-12-11,27,"6' 6""",200 lbs,R,R,Known,46,46,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,55,30,50,55,50,30,55,55,50,30,50,55,50,30,50,50,70,70,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
701,SP,Eric Booker,Chicago Broncos,MLB,1998-05-12,27,"6' 2""",200 lbs,R,R,Known,77,77,L,L,L,L,L,L,Normal,Normal,-,-,-,60,55,60,55,55,60,50,55,60,60,55,55,60,60,55,55,50,50,80,80,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,50,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
659,SP,Eloi Boriches,Portland Apple Sox,MLB,1998-10-26,27,"6' 2""",200 lbs,R,R,Known,42,42,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,30,65,50,30,45,65,50,30,50,65,50,30,50,65,50,50,50,50,65,70,50,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,30,55,55,13500000,1,13500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
560,SP,Nick Bradley,Jersey City Timberjacks,MLB,1998-11-15,27,"6' 4""",200 lbs,R,R,Pop.,67,67,L,L,L,L,L,L,Normal,Fragile,-,-,-,55,50,60,50,55,55,50,50,55,60,50,50,60,60,50,50,50,50,75,75,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,35,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
512,CL,Joe Branch,Oakland Air Riders,MLB,1998-12-24,27,"6' 0""",200 lbs,R,R,Known,65,65,L,L,L,L,L,L,Normal,Normal,-,-,-,55,55,60,45,55,60,50,45,55,60,55,45,55,60,55,45,50,50,75,75,65,65,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,70,55,55,5858000,1,5858000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
346,SP,Adam Bratsch,San Antonio Wild Horses,MLB,1998-08-11,27,"6' 3""",200 lbs,R,R,Known,72,72,L,L,L,L,L,L,Normal,Iron Man,-,-,-,55,40,60,55,55,60,40,55,55,60,40,55,55,60,40,55,50,50,75,80,65,75,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,45,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
355,RP,Bobby Braun,Houston Aeros,MLB,1998-06-27,27,"6' 4""",200 lbs,R,R,Known,73,73,L,L,L,L,L,L,Normal,Normal,-,-,-,70,50,45,55,65,45,50,55,70,45,50,55,70,45,50,55,50,50,70,70,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,40,55,55,8500000,1,8500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
804,SP,Chris Braun,New York Legends,MLB,1998-10-23,27,"6' 5""",200 lbs,R,R,V.Pop,60,60,L,L,L,L,L,L,Normal,Normal,-,-,-,55,50,55,45,55,55,50,45,55,55,55,45,55,55,50,45,50,50,75,75,70,75,55,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,45,55,55,18000000,1,18000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
185,RP,Ruben Briceno,Dallas Attack,MLB,1998-11-27,27,"6' 0""",200 lbs,R,R,Fair,47,50,L,L,L,L,L,L,Normal,Normal,-,-,-,30,55,55,45,30,55,55,45,30,55,55,45,30,55,55,45,30,30,35,35,30,30,30,30,35,35,30,30,-,-,30,30,-,-,30,30,-,-,-,-,8,NEU,90-92,90-92,2025-03-04,Normal,50,50,55,55,6500000,1,6500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1684,SP,Gregg Brown,San Francisco Ramblers,MLB,1998-10-21,27,"6' 2""",200 lbs,R,R,Known,45,45,L,L,L,L,L,L,Normal,Normal,-,-,-,35,50,50,45,35,50,50,45,35,50,50,45,35,50,50,45,40,40,35,35,30,30,35,35,35,35,30,30,-,-,35,35,-,-,35,35,-,-,-,-,8,NEU,90-92,90-92,2025-03-04,Normal,50,50,55,55,750000,1,750000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
1676,RP,Tyler Brown,Colorado Springs War Dogs,MLB,1998-02-16,27,"6' 5""",200 lbs,R,R,V.Pop,51,51,L,L,L,L,L,L,Normal,Normal,-,-,-,45,50,55,35,45,55,50,35,45,55,50,35,45,55,50,35,45,45,50,50,45,45,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,20,55,55,650000,1,650000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
238,RP,Kyle Buchak,Houston Aeros,MLB,1998-08-13,27,"6' 2""",200 lbs,R,R,Pop.,73,73,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,50,65,50,50,50,65,50,50,50,65,50,50,50,65,50,50,65,65,65,65,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,70,55,55,2600000,1,2600000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
263,RP,Sean Burch,San Antonio Wild Horses,MLB,1998-04-10,27,"6' 4""",200 lbs,R,R,Known,63,63,L,L,L,L,L,L,Normal,Normal,-,-,-,60,40,55,40,55,55,35,40,60,55,40,40,60,55,40,40,50,50,75,75,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,25,55,55,4200000,1,4200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
301,RP,Chris Bush,Jersey City Timberjacks,MLB,1998-04-17,27,"6' 1""",200 lbs,R,R,Pop.,72,72,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,55,60,50,55,50,60,55,55,50,60,55,55,50,60,50,50,65,65,65,65,50,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,40,55,55,9500000,1,9500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
157,RP,Andres Calderon,San Antonio Wild Horses,MLB,1998-06-22,27,"5' 10""",200 lbs,R,R,Fair,57,57,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,45,50,50,45,50,50,50,45,50,50,50,45,50,50,45,45,60,60,60,60,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,45,55,55,3200000,1,3200000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
791,RP,Braz Camalho,Denver Swordfish,MLB,1998-01-01,28,"6' 2""",200 lbs,R,R,Fair,54,54,L,L,L,L,L,L,Normal,Normal,-,-,-,40,45,50,60,40,50,45,60,40,50,50,60,40,50,45,60,40,40,35,35,30,30,35,35,35,35,35,35,-,-,35,35,-,-,30,30,-,-,-,-,8,NEU,90-92,90-92,2025-03-04,Normal,50,70,55,55,10000000,1,10000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
163,SP,Danny Campbell,Boston Slammers,MLB,1998-05-12,27,"6' 6""",200 lbs,R,R,Fair,69,69,L,L,L,L,L,L,Normal,Normal,-,-,-,60,50,50,55,55,50,50,55,60,50,50,55,60,50,50,55,50,50,70,70,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,60,55,55,19000000,1,19000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
644,SP,Mike Campbell,New York Legends,MLB,1998-05-12,27,"6' 2""",200 lbs,R,R,Fair,65,65,L,L,L,L,L,L,Normal,Normal,-,-,-,50,50,55,55,45,55,50,55,50,55,50,55,50,55,50,55,45,50,65,65,60,60,50,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,91-93,2025-03-04,Normal,50,35,55,55,10500000,1,10500000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
304,SP,Kelvin Campillo,Dallas Attack,MLB,1998-11-15,27,"6' 4""",200 lbs,R,R,Fair,80,80,L,L,L,L,L,L,Normal,Iron Man,-,-,-,55,50,70,60,55,70,50,60,60,70,50,60,55,70,50,60,50,50,80,80,70,70,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,90-92,90-92,2025-03-04,Normal,50,30,55,55,17000000,1,17000000,1,-,0,10,1720,10,0,0,-,-,-,-,No,,,,,,,,,
