ID,BF,T,STU,HRR,PBABIP,CON,HLD
64099,110,R,50,50,50,45,35
65263,109,R,80,55,55,50,30
59018,108,R,45,55,55,40,65
66006,108,L,65,65,50,45,60
61662,107,R,50,60,65,35,65
60665,107,R,45,55,55,50,40
64428,106,R,55,55,55,60,50
64237,105,R,50,60,55,55,55
51584,104,R,45,55,50,55,55
61563,104,R,55,50,55,45,45
51992,102,R,45,55,50,50,60
49190,102,R,50,55,45,45,60
62082,102,R,55,45,55,40,40
53801,96,R,40,50,50,50,60
63615,95,L,50,40,50,40,75
61356,94,R,45,55,50,55,55
60386,93,R,50,45,45,45,35
62189,93,R,55,60,55,55,30
64243,91,R,45,50,50,45,40
59044,91,L,40,45,45,35,80
64128,90,L,50,50,45,40,60
64447,90,R,80,55,50,45,75
63639,86,L,45,45,45,30,75
60487,86,R,45,55,55,40,55
56813,86,R,45,50,50,50,45
63176,83,L,55,50,55,30,70
44926,83,R,50,45,50,75,55
67015,82,R,45,50,50,45,45
59266,81,L,45,45,50,50,60
68449,81,R,50,50,50,50,75
60312,80,R,55,55,60,50,40
57716,80,R,45,55,50,55,55
20427,77,R,45,45,45,55,60
66445,76,R,50,40,50,40,25
58473,75,L,70,40,55,20,80
64194,75,R,45,45,50,45,25
61391,74,R,50,50,45,45,35
60727,73,R,45,50,50,50,45
64479,70,L,50,45,45,45,80
52048,70,R,45,50,45,45,65
65639,69,R,55,50,50,50,35
63392,68,L,50,50,50,40,60
60466,66,L,45,55,55,45,80
61701,65,R,45,50,50,50,65
58659,62,R,45,50,55,45,70
62554,61,R,45,50,55,45,35
57337,60,L,65,45,55,35,60
60565,60,R,45,55,55,45,60
67027,58,R,65,55,55,40,65
59996,57,R,55,40,50,40,60
51536,57,L,45,40,40,55,55
62841,56,R,45,50,50,50,45
62014,55,R,50,45,50,50,65
57979,50,L,45,55,50,55,75
64539,49,R,55,40,50,45,50
65538,48,R,50,50,55,35,35
59140,46,R,50,45,50,30,80
60509,46,R,70,45,50,40,30
61663,44,R,45,45,50,40,40
61879,42,R,50,55,55,45,35
61439,42,R,60,50,50,45,70
59718,41,L,45,45,50,50,80
64143,41,R,60,50,50,50,65
64330,41,L,60,40,40,45,70
61479,39,L,55,45,55,45,60
59380,38,L,45,35,45,35,65
56422,38,R,50,45,55,45,60
56863,37,R,45,65,55,35,50
57811,36,R,45,45,50,50,60
60445,35,R,50,45,50,40,70
63106,32,R,45,45,50,40,45
61216,31,R,55,45,50,50,50
50428,31,L,45,50,50,55,65
47019,30,R,45,50,45,45,50
63070,30,R,60,45,50,50,35
62437,30,R,55,50,50,45,65
62233,29,R,50,50,50,30,65
64255,29,L,50,55,45,25,65
60237,28,L,45,45,45,40,80
61508,28,R,60,45,55,40,30
59412,26,R,45,50,55,50,65
64358,26,L,50,50,45,40,65
60560,25,R,60,45,55,55,50
63065,24,R,50,45,45,45,45
65673,24,R,55,45,45,45,35
57052,23,R,55,75,60,40,45
58134,23,R,50,55,50,30,55
63769,23,R,60,40,50,45,65
67090,23,R,50,50,50,40,70
62618,22,R,55,35,55,45,40
49176,22,R,45,50,45,45,45
60549,19,R,45,40,50,45,60
63307,18,L,50,45,50,40,75
60610,18,R,45,50,50,50,60
56893,17,R,40,50,50,50,65
57659,15,R,35,30,50,25,60
67075,15,L,55,45,55,45,80
61596,14,R,75,40,50,50,30
64584,14,R,45,45,50,40,25
68443,14,R,45,45,50,30,25
65594,14,L,55,45,45,45,65
49084,13,R,45,45,50,35,45
62531,10,R,60,55,55,35,65
67363,10,R,45,45,50,35,25
64966,8,R,60,45,55,45,40
58823,7,R,45,65,50,40,35
50017,7,R,45,50,55,45,55
61478,7,R,45,50,50,45,55
55933,7,R,45,60,55,40,75
53378,6,L,50,50,50,50,60
62561,6,R,45,45,50,45,35
65561,6,R,75,45,50,40,60
49075,5,R,45,50,45,60,70
60710,4,R,40,60,50,50,65
58808,4,R,55,50,50,45,55
67033,3,R,50,45,50,45,70
68496,3,L,45,45,50,40,75
61368,3,R,50,45,55,50,70
65958,2,R,55,45,50,40,60
