ID,BF,T,STU,HRR,PBABIP,CON,HLD
61432,138,L,65,45,45,55,65
63018,137,R,45,50,50,45,50
47619,137,L,40,55,50,45,65
63090,137,L,50,50,50,50,60
61109,131,R,55,40,50,55,65
59343,131,L,50,55,50,45,70
51445,128,L,50,55,55,55,75
58055,126,R,45,50,50,40,70
60114,124,R,50,50,50,45,45
67029,106,R,40,50,45,50,55
61665,104,L,55,50,50,50,70
50881,99,R,40,45,45,60,35
65760,91,L,45,50,55,50,75
64274,90,L,45,50,40,45,60
64104,86,R,55,55,50,45,60
67014,82,R,40,50,50,45,60
51715,195,R,45,45,45,45,40
56704,167,L,50,55,55,45,55
58921,104,L,55,70,60,35,60
64511,83,R,45,45,45,45,50
67271,69,R,45,55,50,45,35
62240,60,R,40,50,50,55,25
64535,43,R,45,45,50,45,45
62158,40,L,50,45,50,40,65
57536,34,R,45,50,55,50,45
59337,37,R,45,50,55,50,55
65703,27,L,50,45,50,40,75
62520,17,L,40,75,55,45,80
68437,15,R,45,45,50,40,40
65962,21,R,35,55,50,55,45
63423,8,R,45,45,45,50,55
65571,1,R,50,45,45,50,45
