ID,BF,T,STU,HRR,PBABIP,CON,HLD
60549,9,R,45,40,50,45,60
60610,9,R,45,45,50,45,60
64255,8,L,55,55,45,30,65
61478,8,R,45,50,50,45,55
49176,7,R,40,50,45,45,45
49075,7,R,45,50,45,55,70
63769,7,R,65,45,50,45,65
58823,6,R,45,60,50,40,35
49084,6,R,45,45,55,35,45
64966,6,R,45,40,45,45,40
61596,5,R,65,35,50,50,30
55933,5,R,45,55,50,40,75
65561,5,R,60,40,50,35,60
60710,4,R,35,50,45,45,65
65958,4,R,60,45,50,40,60
62561,4,R,45,40,45,45,35
53378,3,L,50,50,50,50,60
50017,3,R,45,50,55,40,55
56893,3,R,40,45,50,50,65
61368,3,R,50,40,50,50,70
67033,2,R,55,45,50,45,70
58808,2,R,45,45,45,45,55
68496,2,L,55,55,55,40,75
