ID,PA,B,BA,GAP,POW,EYE,K,SPE,STE,RUN,SR
55332,276,L,50,60,40,50,55,60,65,55,75
60628,275,L,50,50,55,50,50,20,20,20,20
60247,274,L,55,60,55,50,50,55,45,70,50
57597,267,L,50,65,55,50,45,40,35,30,60
61575,265,S,60,65,25,35,60,60,65,65,80
62165,260,R,50,45,40,40,45,35,40,30,40
65550,260,L,45,60,50,45,65,70,50,55,65
51108,259,R,50,55,45,55,50,40,45,30,50
57673,259,L,50,50,50,55,50,25,30,45,30
59239,258,S,50,60,50,45,50,50,50,80,60
60728,257,R,55,55,50,40,45,55,60,75,80
58885,255,R,50,60,40,45,50,60,65,80,70
62997,255,S,55,60,25,25,60,50,65,70,80
59278,253,L,60,50,50,25,55,80,70,80,80
63017,253,S,55,70,35,35,80,55,60,70,75
63156,252,L,65,45,50,40,55,30,35,35,40
61976,251,R,40,45,50,45,55,30,20,40,30
58903,250,L,55,55,60,50,45,35,45,50,75
62070,248,L,65,55,35,50,50,45,50,55,75
65328,248,S,50,40,45,45,60,20,20,30,20
53422,247,L,35,40,45,65,55,35,55,55,50
61972,246,R,45,40,50,50,55,30,35,45,45
61437,245,R,45,45,55,55,45,55,55,70,55
60361,244,R,55,55,50,30,60,65,50,70,70
56923,241,R,50,45,45,45,75,20,20,25,45
53776,240,L,40,55,55,55,55,40,45,60,20
57595,240,L,50,60,50,55,50,50,55,70,60
56784,240,L,45,45,45,40,60,35,50,50,50
59053,239,R,50,40,45,40,40,20,20,25,20
59606,239,R,50,45,50,50,45,25,25,30,30
49119,237,S,40,40,65,50,40,25,20,20,35
63022,234,R,45,40,35,45,50,25,20,25,25
61454,231,R,50,65,50,45,45,70,70,80,80
58114,229,R,60,50,35,45,60,55,60,65,60
56978,227,L,55,55,50,50,60,30,50,30,75
58809,226,S,55,50,45,65,45,40,50,30,55
47956,221,R,45,55,40,45,50,30,30,30,25
60349,220,R,55,45,45,40,45,60,60,75,70
51493,216,S,50,55,50,65,50,50,60,60,50
56852,216,S,45,45,40,45,70,50,70,80,80
61520,216,R,55,50,35,35,60,25,25,25,60
59238,216,S,40,40,35,45,45,70,65,80,80
48683,213,R,50,45,50,50,50,25,35,25,40
55056,212,R,35,40,45,70,50,55,60,55,60
55017,211,L,45,55,60,75,40,40,45,50,35
55342,210,L,50,70,45,45,80,60,55,70,80
62706,209,R,45,40,50,45,45,45,35,45,50
62360,209,L,65,50,55,50,45,30,35,20,40
53979,206,S,35,40,55,50,45,25,35,30,40
62567,205,R,60,50,50,50,40,40,45,35,45
59213,200,S,45,40,40,45,60,70,70,80,75
49423,199,R,50,45,50,70,55,45,55,60,35
60179,196,L,50,45,55,50,55,35,40,55,40
66662,194,R,50,50,70,50,20,20,20,30,25
61661,194,R,45,40,40,45,55,35,50,40,50
62721,192,L,50,60,35,45,65,60,65,75,80
52164,192,L,40,50,55,50,50,35,35,50,20
52405,191,S,50,60,50,40,55,60,70,75,70
63086,191,R,45,35,30,45,50,45,70,75,70
64161,189,R,50,50,35,50,60,25,20,20,25
62241,183,L,50,50,50,40,65,50,45,35,65
62237,182,L,50,65,40,45,60,75,70,80,80
67049,182,R,55,50,45,45,55,50,55,70,60
58947,180,L,60,65,60,55,40,35,25,55,60
63836,180,S,45,55,55,60,45,30,20,20,20
58000,178,R,45,50,35,50,50,45,50,40,80
58039,177,L,50,60,45,45,60,55,55,70,75
58942,177,L,45,50,40,45,60,70,70,80,75
61201,176,R,40,40,55,50,40,65,70,80,75
52474,173,R,50,50,30,50,60,50,50,45,40
45061,172,L,50,45,35,75,50,60,70,60,65
54698,168,R,50,55,35,50,55,35,40,40,45
62496,168,L,70,55,25,45,50,70,65,65,80
61576,167,R,55,50,40,35,55,65,60,70,60
64106,166,R,50,45,45,40,80,55,60,75,65
59331,166,L,50,55,45,45,50,50,75,50,80
65655,165,R,40,55,40,45,45,70,65,65,65
62888,165,R,50,55,50,45,45,70,70,75,80
63759,162,R,45,45,50,50,40,30,40,30,45
65914,162,R,50,45,40,45,50,20,20,20,20
54636,161,L,35,45,45,65,40,25,20,25,20
63525,161,R,60,40,50,40,45,50,40,50,45
62620,160,R,50,45,40,30,55,65,65,80,75
59680,159,R,45,40,45,45,50,25,30,25,35
64079,158,R,40,40,45,50,40,30,35,40,40
60112,157,L,50,50,45,45,55,65,70,75,60
56878,156,L,55,50,45,45,60,30,30,30,30
19591,156,R,35,35,40,45,50,30,35,55,40
62239,155,R,50,45,55,45,45,20,25,25,30
55058,154,R,50,55,45,45,45,50,60,50,45
58856,153,L,40,55,45,45,80,45,60,55,75
61481,153,R,40,50,30,50,55,65,70,75,80
62376,152,R,45,40,50,45,45,65,50,70,60
64065,150,R,55,50,50,50,55,25,20,20,25
63216,147,S,50,40,45,50,55,55,60,55,60
58004,146,L,50,55,45,40,50,60,60,80,70
55790,145,L,50,55,45,40,60,25,25,20,55
48759,144,R,55,60,45,45,50,55,65,55,75
60773,143,R,45,45,55,50,50,35,25,50,45
60570,142,L,55,50,50,50,40,55,45,65,50
64092,141,S,50,50,50,45,55,35,20,20,25
56002,140,S,45,45,55,75,50,45,65,60,40
60050,138,S,60,50,45,70,45,20,20,20,25
47881,137,R,45,50,50,45,50,20,20,25,20
47288,137,S,55,55,25,35,70,65,60,75,65
67052,134,R,45,45,45,45,50,35,20,20,25
47557,131,R,40,40,45,45,45,25,30,25,35
64213,131,R,55,50,40,45,50,60,50,65,55
55887,131,S,45,50,45,60,40,20,20,20,20
57892,129,R,50,50,45,50,40,55,65,65,80
61397,128,S,55,45,50,40,55,25,35,25,40
59985,127,R,50,45,50,50,45,30,25,20,45
60772,126,L,45,55,50,40,50,60,75,70,75
61319,126,L,60,50,45,45,50,25,30,30,35
65240,124,R,45,45,45,40,50,45,45,55,45
56810,124,S,45,55,50,50,50,45,35,45,65
52798,122,L,40,50,60,80,50,60,65,70,70
57881,119,R,45,60,40,50,55,50,60,70,65
64136,117,L,50,50,45,45,65,45,55,35,60
56189,115,L,50,60,45,45,65,60,70,65,55
56958,115,R,35,45,40,50,50,55,60,70,35
64174,114,R,45,50,50,50,50,40,45,40,60
59281,113,R,45,35,45,55,40,20,20,20,30
53273,112,L,45,55,45,55,65,25,30,20,20
57945,110,R,45,50,45,45,50,45,35,45,80
60503,109,R,50,45,45,35,60,40,25,55,40
65953,109,R,55,50,40,45,50,70,65,50,65
62043,109,R,45,45,45,45,50,35,45,45,40
65718,108,R,45,40,40,40,45,20,20,25,25
58399,107,R,50,55,40,40,45,50,55,60,65
63051,107,L,50,60,50,50,50,60,70,70,70
46394,107,R,50,50,30,40,55,35,30,35,75
63103,105,R,50,45,45,50,40,35,40,65,50
60722,104,L,50,50,55,50,55,25,35,40,40
60529,104,R,55,50,45,45,65,55,65,60,70
61280,103,R,50,60,30,30,60,70,65,75,70
57265,103,L,45,55,45,80,50,50,50,60,60
62088,100,R,45,40,45,45,55,35,20,55,40
59975,100,R,45,45,50,45,45,40,35,50,40
55906,97,R,70,40,50,40,45,30,30,40,30
61726,97,R,45,45,50,45,50,20,25,20,25
62454,94,R,55,50,45,40,55,25,25,20,40
56989,93,R,45,55,50,50,50,50,65,60,70
62881,93,R,45,45,50,45,55,55,65,65,70
61461,93,R,45,40,20,35,50,20,20,20,25
58970,92,S,30,40,50,45,45,20,25,20,35
59297,84,R,50,50,40,50,45,35,30,40,70
66396,82,R,50,55,75,45,40,65,30,25,40
26487,82,S,50,55,45,55,50,35,50,30,65
53277,81,R,45,50,40,40,65,60,70,60,60
60738,80,R,45,45,45,45,50,50,50,70,55
61484,79,R,50,50,50,45,60,65,65,65,70
63111,77,R,45,55,45,40,55,45,50,50,55
60444,77,R,55,45,50,45,45,55,40,65,75
61353,76,R,60,55,50,45,55,20,20,20,25
57950,75,L,45,45,60,55,55,25,35,20,50
63271,74,R,55,50,55,50,30,35,45,45,40
64208,72,L,50,50,40,45,60,65,60,75,65
64253,72,R,45,50,45,40,65,60,50,30,50
67038,71,R,45,40,35,40,40,50,70,70,70
59175,70,L,50,45,50,50,60,35,20,45,40
55908,68,R,50,50,45,55,60,45,60,55,50
62290,68,R,50,55,25,35,70,55,65,50,70
55340,67,L,65,55,55,50,45,25,25,25,25
48858,67,R,50,55,45,60,45,50,70,70,60
61357,65,R,45,50,45,40,65,65,55,65,70
62341,63,R,50,50,45,35,45,20,20,20,40
62173,62,R,55,60,50,50,40,55,60,70,75
54156,60,R,50,45,40,50,55,25,35,20,50
55062,60,L,50,50,50,50,45,50,50,70,35
62176,58,R,55,60,30,30,55,45,40,60,80
60768,55,R,50,55,40,50,65,30,40,50,50
65607,54,R,50,55,45,45,55,55,40,55,55
67070,53,R,50,55,45,45,55,60,70,75,70
63011,53,L,50,45,45,50,55,55,65,80,40
67187,52,S,55,60,45,50,30,40,35,40,35
64510,51,L,45,45,45,40,55,45,25,60,30
64192,51,R,55,45,45,45,50,45,50,40,50
60329,49,L,60,50,45,45,45,30,20,65,35
60128,49,R,45,45,40,45,65,45,45,70,60
61468,49,R,75,45,55,50,45,50,30,50,50
59336,48,L,55,50,60,50,50,30,40,45,40
62586,48,R,55,40,45,30,40,40,50,35,65
63181,48,R,50,45,60,40,45,45,45,50,50
57671,46,R,45,55,45,50,55,45,60,70,50
63313,46,R,50,45,50,45,45,75,70,80,70
62491,46,L,50,50,50,40,55,55,60,45,65
52638,46,R,50,55,20,45,50,50,60,60,75
60548,45,R,40,40,50,45,45,70,75,80,80
55828,45,R,45,50,45,55,40,25,25,20,40
60372,45,R,55,50,45,40,50,50,55,60,60
61609,43,L,40,35,50,45,45,25,20,25,20
61464,43,R,60,40,45,45,50,45,50,60,45
59176,43,S,50,40,60,35,45,55,45,55,50
23740,42,R,60,50,50,45,35,35,35,35,45
71236,41,R,55,70,35,30,80,70,75,75,75
61669,41,S,45,50,50,50,45,55,70,65,75
67030,40,S,50,45,50,55,55,35,50,45,50
59401,38,R,45,40,45,50,60,20,20,20,50
64984,38,R,45,40,30,35,45,50,35,30,35
61991,38,R,45,45,45,50,50,45,45,55,45
56672,37,R,40,50,45,45,50,40,55,45,80
61561,37,R,45,40,45,45,60,30,35,20,45
61740,37,S,45,50,45,60,45,35,40,50,45
65910,36,R,40,40,35,45,45,35,25,20,30
64258,35,R,50,55,40,45,55,50,30,50,35
68811,34,R,45,45,20,35,45,40,30,35,30
61091,34,R,50,45,40,35,40,65,55,65,60
67107,32,R,45,45,45,45,50,45,50,65,50
62394,32,R,55,45,50,45,45,25,20,20,45
65641,32,R,45,40,50,55,50,50,30,30,35
63764,31,R,50,45,45,35,50,25,20,20,45
51536,31,L,40,55,55,60,55,50,55,50,45
59347,30,R,50,55,45,50,45,40,35,40,80
60657,30,R,70,50,40,35,65,40,50,45,60
62036,30,R,45,40,50,50,30,30,20,45,35
60199,29,L,50,60,50,50,45,25,30,25,60
65651,27,R,45,45,35,45,45,35,30,45,35
62024,27,R,45,45,50,45,50,50,50,70,65
60201,24,L,50,50,50,40,45,65,65,70,80
60344,23,R,50,50,35,45,65,50,50,55,65
64141,23,L,45,55,45,50,65,55,40,70,45
57987,22,L,45,45,40,55,55,50,60,75,70
1427,22,R,45,30,45,65,55,25,35,20,35
69769,22,L,50,50,45,45,55,35,35,25,35
55381,22,L,50,50,55,45,45,45,55,50,55
62699,21,R,50,50,25,30,65,50,50,65,70
66439,21,L,45,45,40,40,45,50,30,25,35
65628,21,L,50,50,45,40,55,55,45,40,45
60404,20,R,65,40,40,30,50,45,50,45,65
64826,20,S,40,45,45,45,45,60,45,55,45
61527,20,R,60,45,50,45,40,25,20,35,45
61132,19,L,55,65,45,45,50,45,40,50,75
63109,19,L,55,40,50,50,55,25,20,25,40
62572,18,L,35,40,50,50,45,75,75,80,80
60621,18,R,45,45,45,50,55,40,40,45,45
61737,18,S,45,45,40,45,60,60,70,60,75
62403,18,R,45,40,35,40,40,40,40,20,75
64464,17,R,55,45,45,45,50,50,40,35,45
64533,17,R,45,50,45,45,45,25,20,35,30
46294,17,L,45,55,50,50,55,30,35,25,30
60703,17,R,50,45,45,35,45,45,55,60,60
64181,16,S,50,45,70,50,40,35,40,35,35
63327,15,R,35,35,30,45,50,70,70,75,70
61504,15,R,45,45,40,40,45,35,35,25,70
58805,14,R,45,45,35,45,55,60,70,80,70
63180,14,R,60,45,45,35,40,65,65,75,65
55852,14,S,60,50,55,45,50,30,40,25,30
67915,13,R,45,45,40,40,40,45,55,55,50
60676,12,R,50,55,45,50,50,50,60,80,70
62352,12,R,45,55,45,45,50,65,75,70,75
60388,12,S,45,45,50,35,50,35,40,30,60
62414,11,L,65,65,45,45,45,65,60,70,70
60069,10,R,50,45,40,40,65,60,70,65,60
61497,10,R,50,45,30,35,55,25,20,20,30
63215,9,R,55,50,45,40,50,55,60,45,70
61157,9,R,50,40,40,50,55,40,40,30,55
57006,9,R,35,40,45,50,50,20,25,35,20
56972,8,L,45,50,50,45,50,40,45,60,70
55027,7,L,45,70,40,60,40,45,45,45,50
68557,7,R,35,40,30,35,40,65,60,60,60
68590,7,R,45,45,40,40,55,30,35,25,35
67153,7,R,50,50,45,45,55,35,40,45,40
70191,6,R,35,35,25,30,40,40,45,55,40
68565,5,R,45,45,50,40,50,60,55,55,55
58141,5,R,50,50,50,45,50,35,50,50,60
59380,4,R,45,45,45,45,50,60,55,75,50
65907,4,L,45,45,40,40,45,60,50,50,50
55749,3,R,50,55,35,35,50,55,70,65,80
59188,3,L,45,45,45,50,50,30,35,20,45
59710,3,L,45,35,45,50,50,40,45,50,60
68417,2,R,45,45,45,50,30,30,45,55,40
56971,1,R,50,50,35,45,50,30,55,20,70
69879,1,R,40,40,35,30,45,65,55,45,50
66474,1,L,50,50,45,40,45,65,65,65,65
53730,1,L,40,70,45,55,50,65,65,65,65
60809,1,R,45,45,30,40,40,35,40,25,60
